Name,Email,Phone Number,Time of Checking Messages,Preferred Messaging Channel,Language Preferred,Type of CTA,City,Type of Device,CTR Rate
Nicholas Wright,ymiller@dorsey.com,001-233-736-5677x274,1 pm,WhatsApp,Chinese,book now,London,Android,7.0
Gregory Fisher,rachaelcastro@hotmail.com,668-413-1445,9 am,email,Chinese,know more,Toronto,Android,6.9
Mr. Shawn Lopez,paul09@gmail.com,996.952.9723x55778,5 pm,email,Chinese,purchase now,Paris,Android,7.7
Angel White,nancy72@hotmail.com,6487104432,11 am,WhatsApp,German,order now,London,Android,7.5
John Jones,ogay@hicks.biz,+1-035-924-3953x104,1 pm,WhatsApp,German,order now,Sydney,Android,8.2
Richard Lyons,rodriguezandrew@yahoo.com,160.684.1802x1813,10 am,WhatsApp,French,buy now,New York,Android,6.0
Christine Cooper,charles87@yahoo.com,193-200-5528x6187,1 pm,email,Chinese,buy now,New York,iPhone,8.8
Antonio Martinez,brittany34@yahoo.com,+1-990-367-6995x810,2 pm,WhatsApp,Spanish,book now,Sydney,iPhone,17.8
Michael Jones,ibrown@yahoo.com,001-050-301-4600x2973,10 am,sms,French,order now,Dubai,Android,6.8
Mr. Manuel Johnson,valenzuelakent@berry-sweeney.net,(031)421-1209x6968,11 am,WhatsApp,German,book now,Birmingham,Android,8.9
Lisa Wheeler,mary84@walker.com,440-531-8626x76587,5 pm,sms,Spanish,know more,New York,Android,16.1
Mark Dillon,john41@willis.com,152-420-9835,1 pm,sms,French,order now,Berlin,iPhone,7.9
Andrea Baker,oliu@gmail.com,+1-187-485-4943,9 am,WhatsApp,French,buy now,Paris,iPhone,6.6
Anthony Hall,scisneros@hotmail.com,001-569-946-6818x9738,5 pm,sms,French,order now,Tokyo,iPhone,17.2
Courtney Barr,tammy19@webb.com,959.700.5941x248,9 am,WhatsApp,English,book now,Birmingham,Android,5.7
Philip Walker,troy50@yahoo.com,600.176.4076,11 am,WhatsApp,English,book now,Dubai,iPhone,6.0
Robin Robertson,harrisonpatricia@hotmail.com,3075264993,10 am,sms,French,order now,Paris,iPhone,6.7
Michaela Roberts,robertsnancy@kent-carney.com,8827743996,1 pm,email,English,buy now,Toronto,Android,6.0
Jennifer Chambers,orodriguez@moore.org,+1-170-815-6020x610,11 am,email,English,order now,Birmingham,iPhone,19.1
Kevin Harrison,denisemichael@hotmail.com,(286)176-5676,4 pm,WhatsApp,German,purchase now,Sydney,Android,7.5
Edward Gilbert,jcarroll@wright.com,+1-085-529-5415x1431,5 pm,WhatsApp,Spanish,buy now,Toronto,Android,5.2
Gloria Howard,tcruz@romero.com,001-430-656-3172x62172,8 am,sms,German,know more,Mumbai,iPhone,6.8
Catherine Reeves,fgalvan@hotmail.com,171-904-6753,8 am,WhatsApp,Chinese,order now,Birmingham,iPhone,8.4
Audrey Jones,carolyn78@reyes-hernandez.com,001-010-651-1843x70914,5 pm,email,French,know more,New York,Android,6.4
Jillian Burton,christopher31@hotmail.com,001-816-647-3986,11 am,sms,German,know more,Tokyo,iPhone,6.4
Ruben Ramsey,lrush@jenkins.info,(008)997-2108,10 am,email,German,purchase now,Berlin,Android,20.3
Sergio Burton,dawnmcdonald@evans.info,488.191.6571,1 pm,sms,Spanish,buy now,Sydney,iPhone,7.2
Sherri Reynolds,danielcollins@hotmail.com,050.391.0880x1160,3 pm,email,French,purchase now,Birmingham,Android,9.6
Michael Shaw,krussell@gmail.com,(908)858-5041x11865,2 pm,email,Spanish,order now,London,iPhone,7.1
Jose Mitchell,jon52@hernandez.com,555.351.0177x1933,10 am,sms,French,purchase now,Tokyo,Android,4.9
Vickie Morgan,iday@stone-harrison.com,634-779-1700x6218,10 am,WhatsApp,French,know more,Berlin,Android,8.1
Matthew Carter,arivera@gmail.com,658.337.9069x784,3 pm,email,Chinese,purchase now,Tokyo,Android,9.8
Mrs. Nicole Hayes PhD,johnrobinson@gmail.com,756-116-7863x53581,5 pm,WhatsApp,Spanish,book now,Mumbai,iPhone,7.6
Bruce Nichols,melissa61@bell.com,001-619-412-6781x3184,2 pm,sms,French,order now,Mumbai,Android,7.1
Jason Martin,chelseanewman@baker.com,386-044-1309,1 pm,email,Spanish,buy now,Paris,Android,6.4
Ashley Morgan,obarnes@hotmail.com,081-303-2896x684,3 pm,WhatsApp,Spanish,book now,Birmingham,Android,19.9
Brian Smith,brownjames@gray.biz,001-720-436-4106x7414,12 pm,email,Chinese,buy now,Birmingham,Android,6.4
